Sku	Descrição	Sessão	Sub Sessão	Marca	Fabricante	NCM	Ean13	Peso	Peso com embalagem	Comprimento	Largura	Altura	Foto	Preço	Preço Promocional	Possuí estoque
11004	KIT DE EMBREAGEM LAGUNA 2.0 NACIONAL .../97 / TRAFIC 2.0 8V GAS. (F3R) INJECAO 00/... / MEGANE NACIONAL 2.0 8V/16V 00/... (F3R/F4R) / SCENIC NACIONAL 2.0 8V/16V 00/08 (F3R/F4R) - DIAM:215 EST:26 - MECARM	Auto Peças	Embreagens	MECARM		87089300	8051499123291	4945	4945	30.00	27,5	7	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/11004.jpg	436,76	436,76	S
11006	KIT DE EMBREAGEM ALFA 155 2.0 16V 95/98 / 145 2.0 16V 96/99 / SPIDER 2.0 16V 95/... / MAREA 2.0 MPI 142CV 20V GS 99/00 / MAREA 2.4 MPI 20V GS 99/03 DIAM:228 EST:20 - MECARM	Auto Peças	Embreagens	Embreagens		87089300	8051499123345	5250		32.00	30	7,5	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/11006.jpg	520,13	520,13	N
11007	KIT DE EMBREAGEM (PLATO/DISCO) CALIBRA 2.0 16V 94/95 / VECTRA 2.0 8V / 2.2 16V 99/... (SISTEMA USA ATUADOR) DIAM: 228 EST:24 - MECARM	Auto Peças	Embreagens	Embreagens		87089300	8051499122836	5405		30.00	27,5	7	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/11007.jpg	583,52	583,52	S
11010	KIT DE EMBREAGEM SWIFT 1.3 8V 94/... DIAM: 190 EST:18 - MECARM	Auto Peças	Embreagens	Embreagens		87089300	8051499121853	4070		26.00	25	6,4	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/11010.jpg	385,53	385,53	S
11015	KIT DE EMBREAGEM (PLATO/DISCO) MONDEO 2.0 16V 96/... (SISTEMA USA ATUADOR 19626) DIAM: 240 EST:23 - MECARM	Auto Peças	Embreagens	MECARM		87089300	8051499123376	5665	5665	32.00	30	7,5	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/11015.jpg	498,51	498,51	S
11053	CABO FREIO DIANT. BESTA GS 2.7/ 3.0 - KOREA	Auto Peças	Cabos	Cabos	Kia Motors		7908304843244	620		0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/11053.jpg	59,89	59,89	N
11088	PINHAO DO VELOCIMETRO BONGO K2400 - KOREA	Auto Peças	Diversos	Diversos	Kia Motors		7908304846955	115		0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/11088.jpg	70,53	70,53	S
11091	SUPORTE FILTRO COMBUSTIVEL (CABECOTE) TOPIC - KOREA	Auto Peças	Filtros			87089990	7908304847839	380	380	0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/11091.jpg	65,45	65,45	S
11111	BATENTE AMORTECEDOR BESTA GS - KOREA	Auto Peças	Diversos	Diversos	Kia Motors			260		0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/11111.jpg	29,97	29,97	N
11123	MODULO COMBUSTIVEL MASTER 2.3 16V 13/...  (SENSOR NIVEL 100 LTS / SEM MOTOR) (EMBAL. 10 PCS) ? DRIVETEC	Auto Peças	Diversos	DRIVETEC	Renault	90261029	7908304827855	900	900	14.50	23	26	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/11123.jpg	389,88	389,88	N
11136	COXIM CAMBIO BESTA GS 3.0 - DRIVETEC	Auto Peças	Coxins	DRIVETEC		87089990	7908304844210	360	360	0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/11136.jpg	49,77	49,77	S
11139	EIXO PILOTO BESTA GS 3.0 99/05 (24 DENTES) - KOREA	Auto Peças	Eixos		Kia Motors	87085099	7908304844746	1280	1280	0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/11139.jpg	459,43	459,43	S
11140	EIXO PILOTO BESTA 2.7 93/99 / GS 2.7 98/05 (24 DENTES) - KOREA	Auto Peças	Eixos	Eixos	Kia Motors		7908304844739	1280		0.00	0	0	https://www.isapab2b.com.br/Oracle Content/B2B (Infra Ti)/Auto/big/11140.jpg	455,41	455,41	N
